restaurant_id,restaurant_name,city,opening_hours
1,Punjab Grill - Jaipur Branch 3649,Jaipur,10:00 AM-11:00 PM
2,Leopold Cafe - Chennai Branch 4998,Chennai,11:00 AM-11:00 PM
3,Barbeque Nation - Pune Branch 3332,Pune,"1:00 PM-4:00 PM, 6:00 PM-9:00 PM"
4,Paradise Biryani - Delhi Branch 826,Delhi,"12:00 PM-2:00 PM, 6:00 PM-10:00 PM"
5,Thalassa - Chennai Branch 5667,Chennai,"1:00 PM-3:00 PM, 7:00 PM-11:00 PM"
6,Peshawri - Delhi Branch 5944,Delhi,11:00 AM-11:00 PM
7,Annalakshmi - Mumbai Branch 8293,Mumbai,10:00 AM-10:00 PM
8,Trishna - Kolkata Branch 6271,Kolkata,"11:00 PM-2:00 PM, 6:00 PM-8:00 PM"
9,Leopold Cafe - Jaipur Branch 4912,Jaipur,"1:00 PM-4:00 PM, 7:00 PM-9:00 PM"
10,Thalassa - Jaipur Branch 3360,Jaipur,11:00 AM-9:00 PM
11,The Fisherman's Wharf - Mumbai Branch 7844,Mumbai,"11:00 PM-2:00 PM, 8:00 PM-12:00 PM"
12,Peshawri - Goa Branch 9196,Goa,10:00 AM-10:00 PM
13,SodaBottleOpenerWala - Mumbai Branch 4133,Mumbai,11:00 AM-9:00 PM
14,Indian Accent - Ahmedabad Branch 4645,Ahmedabad,"12:00 PM-3:00 PM, 6:00 PM-8:00 PM"
15,Peshawri - Hyderabad Branch 5159,Hyderabad,10:00 AM-11:00 PM
16,Trishna - Kolkata Branch 8599,Kolkata,10:00 AM-11:00 PM
17,The Black Sheep Bistro - Chennai Branch 5439,Chennai,"1:00 PM-3:00 PM, 8:00 PM-11:00 PM"
18,The Black Sheep Bistro - Chennai Branch 1496,Chennai,10:00 AM-10:00 PM
19,The Bombay Canteen - Ahmedabad Branch 9982,Ahmedabad,"1:00 PM-3:00 PM, 8:00 PM-10:00 PM"
20,Mainland China - Mumbai Branch 8966,Mumbai,"12:00 PM-3:00 PM, 7:00 PM-10:00 PM"
21,Copper Chimney - Delhi Branch 640,Delhi,10:00 AM-9:00 PM
22,Bukhara - Chennai Branch 6430,Chennai,10:00 AM-9:00 PM
23,Indian Accent - Jaipur Branch 806,Jaipur,11:00 AM-10:00 PM
24,Karavalli - Chennai Branch 4947,Chennai,"1:00 PM-3:00 PM, 8:00 PM-10:00 PM"
25,The Fisherman's Wharf - Chennai Branch 5060,Chennai,11:00 AM-9:00 PM
26,Trishna - Mumbai Branch 2288,Mumbai,11:00 AM-9:00 PM
27,SodaBottleOpenerWala - Delhi Branch 6416,Delhi,"1:00 PM-4:00 PM, 6:00 PM-9:00 PM"
28,Trishna - Delhi Branch 9612,Delhi,10:00 AM-10:00 PM
29,Annalakshmi - Kolkata Branch 3713,Kolkata,"11:00 PM-1:00 PM, 8:00 PM-12:00 PM"
